Evaluation,FEN
0,rnbq1rk1/pppp1ppp/4pn2/6B1/1bPP4/2N5/PPQ1PPPP/R3KBNR b KQ - 5 5
0,rnbq1rk1/pppp1pp1/4pn1p/6B1/1bPP4/2N5/PPQ1PPPP/R3KBNR w KQ - 0 6
0,rnbq1rk1/pppp1pp1/4pn1p/8/1bPP3B/2N5/PPQ1PPPP/R3KBNR b KQ - 1 6
0,rnbq1rk1/pp1p1pp1/4pn1p/2p5/1bPP3B/2N5/PPQ1PPPP/R3KBNR w KQ - 0 7
0,rnbq1rk1/pp1p1pp1/4pn1p/2p5/1bPP3B/2N2N2/PPQ1PPPP/R3KB1R b KQ - 1 7
0,rnbq1rk1/pp1p1pp1/4pn1p/8/1bPp3B/2N2N2/PPQ1PPPP/R3KB1R w KQ - 0 8
0.1,rnbq1rk1/pp1p1pp1/4pn1p/8/1bPN3B/2N5/PPQ1PPPP/R3KB1R b KQ - 0 8
0.3,rnbq1rk1/pp3pp1/3ppn1p/8/1bPN3B/2N5/PPQ1PPPP/R3KB1R w KQ - 0 9
0.3,rnbq1rk1/pp3pp1/3ppn1p/8/1bPN3B/2N1P3/PPQ2PPP/R3KB1R b KQ - 0 9
0.2,rnbq1rk1/pp3pp1/3p1n1p/4p3/1bPN3B/2N1P3/PPQ2PPP/R3KB1R w KQ - 0 10
-0.3,rnbq1rk1/pp3pp1/3p1n1p/4p3/1bP4B/2N1PN2/PPQ2PPP/R3KB1R b KQ - 1 10
-0.3,rn1q1rk1/pp3pp1/3pbn1p/4p3/1bP4B/2N1PN2/PPQ2PPP/R3KB1R w KQ - 2 11
-0.6,rn1q1rk1/pp3pp1/3pbn1p/4p3/1bP4B/P1N1PN2/1PQ2PPP/R3KB1R b KQ - 0 11
-0.8,rn1q1rk1/pp3pp1/3pbn1p/4p3/2P4B/P1b1PN2/1PQ2PPP/R3KB1R w KQ - 0 12
-1,rn1q1rk1/pp3pp1/3pbn1p/4p3/2P4B/P1Q1PN2/1P3PPP/R3KB1R b KQ - 0 12
-0.8,rn1q1rk1/pp3p2/3pbn1p/4p1p1/2P4B/P1Q1PN2/1P3PPP/R3KB1R w KQ - 0 13
-0.8,rn1q1rk1/pp3p2/3pbn1p/4p1p1/2P5/P1Q1PNB1/1P3PPP/R3KB1R b KQ - 1 13
-0.6,r2q1rk1/pp1n1p2/3pbn1p/4p1p1/2P5/P1Q1PNB1/1P3PPP/R3KB1R w KQ - 2 14
-1.8,r2q1rk1/pp1n1p2/3pbn1p/4p1p1/2P5/P1QBPNB1/1P3PPP/R3K2R b KQ - 3 14
-1.9,r2q1rk1/pp1n1p2/3pbn1p/6p1/2P1p3/P1QBPNB1/1P3PPP/R3K2R w KQ - 0 15
-2,r2q1rk1/pp1n1p2/3Bbn1p/6p1/2P1p3/P1QBPN2/1P3PPP/R3K2R b KQ - 0 15
-1.9,r2qr1k1/pp1n1p2/3Bbn1p/6p1/2P1p3/P1QBPN2/1P3PPP/R3K2R w KQ - 1 16
-2.1,r2qr1k1/pp1n1p2/3Bbn1p/6p1/2P1p3/P1Q1PN2/1P2BPPP/R3K2R b KQ - 2 16
-2.2,r2qr1k1/pp1n1p2/3Bbn1p/6p1/2P5/P1Q1Pp2/1P2BPPP/R3K2R w KQ - 0 17
-3.3,r2qr1k1/pp1n1p2/3Bbn1p/6p1/2P5/P1Q1PB2/1P3PPP/R3K2R b KQ - 0 17
-3.5,2rqr1k1/pp1n1p2/3Bbn1p/6p1/2P5/P1Q1PB2/1P3PPP/R3K2R w KQ - 1 18
-3.5,2rqr1k1/pp1n1p2/3Bbn1p/6p1/2P5/PPQ1PB2/5PPP/R3K2R b KQ - 0 18
-3.3,2rqr1k1/p2n1p2/3Bbn1p/1p4p1/2P5/PPQ1PB2/5PPP/R3K2R w KQ - 0 19
-3.6,2rqr1k1/p2n1p2/3Bbn1p/1pP3p1/8/PPQ1PB2/5PPP/R3K2R b KQ - 0 19
-3.6,2rqr1k1/p2n1p2/3Bbn1p/1pP5/6p1/PPQ1PB2/5PPP/R3K2R w KQ - 0 20
-3.7,2rqr1k1/pB1n1p2/3Bbn1p/1pP5/6p1/PPQ1P3/5PPP/R3K2R b KQ - 1 20
-3.7,2rqr1k1/pB3p2/3Bbn1p/1pn5/6p1/PPQ1P3/5PPP/R3K2R w KQ - 0 21
-3.8,2rqr1k1/pB3p2/4bn1p/1pB5/6p1/PPQ1P3/5PPP/R3K2R b KQ - 0 21
-3.8,3qr1k1/pBr2p2/4bn1p/1pB5/6p1/PPQ1P3/5PPP/R3K2R w KQ - 1 22
-6.7,3qr1k1/p1r2p2/B3bn1p/1pB5/6p1/PPQ1P3/5PPP/R3K2R b KQ - 2 22
-7.1,3qr1k1/p1r2p2/B3b2p/1pB5/4n1p1/PPQ1P3/5PPP/R3K2R w KQ - 3 23
-7.3,3qr1k1/p1r2p2/B3b2p/1pB5/1Q2n1p1/PP2P3/5PPP/R3K2R b KQ - 4 23
-7.4,3qr1k1/p1r2p2/B3b2p/1pn5/1Q4p1/PP2P3/5PPP/R3K2R w KQ - 0 24
-7.2,3qr1k1/p1r2p2/4b2p/1Bn5/1Q4p1/PP2P3/5PPP/R3K2R b KQ - 0 24
-7.4,3qr1k1/2r2p2/4b2p/pBn5/1Q4p1/PP2P3/5PPP/R3K2R w KQ - 0 25
-19.1,3qr1k1/2r2p2/4b2p/pBn5/6Q1/PP2P3/5PPP/R3K2R b KQ - 0 25
-21.5,3qr1k1/2r2p2/7p/pBn5/6b1/PP2P3/5PPP/R3K2R w KQ - 0 26
-21.5,3qr1k1/2r2p2/7p/pBn5/6b1/PP2P3/5PPP/R4RK1 b - - 1 26
-21.8,3qr1k1/2r2p2/7p/pB6/6b1/Pn2P3/5PPP/R4RK1 w - - 0 27
0.2,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
0,rnbqkbnr/pppppppp/8/8/8/6P1/PPPPPP1P/RNBQKBNR b KQkq - 0 1
0.3,rnbqkbnr/ppp1pppp/8/3p4/8/6P1/PPPPPP1P/RNBQKBNR w KQkq - 0 2
0.2,rnbqkbnr/ppp1pppp/8/3p4/8/5NP1/PPPPPP1P/RNBQKB1R b KQkq - 1 2
0.4,rnbqkbnr/pp2pppp/2p5/3p4/8/5NP1/PPPPPP1P/RNBQKB1R w KQkq - 0 3
0.3,rnbqkbnr/pp2pppp/2p5/3p4/8/5NP1/PPPPPPBP/RNBQK2R b KQkq - 1 3
0.2,rnbqkbnr/pp2pp1p/2p3p1/3p4/8/5NP1/PPPPPPBP/RNBQK2R w KQkq - 0 4
0.2,rnbqkbnr/pp2pp1p/2p3p1/3p4/8/5NP1/PPPPPPBP/RNBQ1RK1 b kq - 1 4
0.4,rnbqk1nr/pp2ppbp/2p3p1/3p4/8/5NP1/PPPPPPBP/RNBQ1RK1 w kq - 2 5
0.2,rnbqk1nr/pp2ppbp/2p3p1/3p4/8/3P1NP1/PPP1PPBP/RNBQ1RK1 b kq - 0 5
0.2,rnbqk1nr/pp3pbp/2p3p1/3pp3/8/3P1NP1/PPP1PPBP/RNBQ1RK1 w kq - 0 6
0.2,rnbqk1nr/pp3pbp/2p3p1/3pp3/4P3/3P1NP1/PPP2PBP/RNBQ1RK1 b kq - 0 6
0.5,rnbqk2r/pp2npbp/2p3p1/3pp3/4P3/3P1NP1/PPP2PBP/RNBQ1RK1 w kq - 1 7
0.2,rnbqk2r/pp2npbp/2p3p1/3pp3/4P3/3P1NP1/PPPN1PBP/R1BQ1RK1 b kq - 2 7
0.2,rnbq1rk1/pp2npbp/2p3p1/3pp3/4P3/3P1NP1/PPPN1PBP/R1BQ1RK1 w - - 3 8
0.4,rnbq1rk1/pp2npbp/2p3p1/3pp3/4P3/2PP1NP1/PP1N1PBP/R1BQ1RK1 b - - 0 8
0.3,r1bq1rk1/pp1nnpbp/2p3p1/3pp3/4P3/2PP1NP1/PP1N1PBP/R1BQ1RK1 w - - 1 9
0.3,r1bq1rk1/pp1nnpbp/2p3p1/3pp3/P3P3/2PP1NP1/1P1N1PBP/R1BQ1RK1 b - - 0 9
0.1,r1bq1rk1/pp2npbp/2p3p1/2npp3/P3P3/2PP1NP1/1P1N1PBP/R1BQ1RK1 w - - 1 10
0.1,r1bq1rk1/pp2npbp/2p3p1/2npN3/P3P3/2PP2P1/1P1N1PBP/R1BQ1RK1 b - - 0 10
0.2,r1bq1rk1/pp2np1p/2p3p1/2npb3/P3P3/2PP2P1/1P1N1PBP/R1BQ1RK1 w - - 0 11
0.2,r1bq1rk1/pp2np1p/2p3p1/2npb3/P2PP3/2P3P1/1P1N1PBP/R1BQ1RK1 b - - 0 11
0.3,r1bq1rk1/pp2np1p/2p3p1/2np4/P2bP3/2P3P1/1P1N1PBP/R1BQ1RK1 w - - 0 12
0.1,r1bq1rk1/pp2np1p/2p3p1/2np4/P2PP3/6P1/1P1N1PBP/R1BQ1RK1 b - - 0 12
0.1,r1bq1rk1/pp2np1p/2p3p1/3p4/P2Pn3/6P1/1P1N1PBP/R1BQ1RK1 w - - 0 13
0,r1bq1rk1/pp2np1p/2p3p1/3p4/P2PB3/6P1/1P1N1P1P/R1BQ1RK1 b - - 0 13
0,r1bq1rk1/pp2np1p/2p3p1/8/P2Pp3/6P1/1P1N1P1P/R1BQ1RK1 w - - 0 14
0,r1bq1rk1/pp2np1p/2p3p1/8/P2PN3/6P1/1P3P1P/R1BQ1RK1 b - - 0 14
0,r1bq1rk1/pp2n2p/2p2pp1/8/P2PN3/6P1/1P3P1P/R1BQ1RK1 w - - 0 15
0.1,r1bq1rk1/pp2n2p/2p2pp1/8/P2PN3/6P1/1P3P1P/R1BQR1K1 b - - 1 15
0.1,r1bq2k1/pp2nr1p/2p2pp1/8/P2PN3/6P1/1P3P1P/R1BQR1K1 w - - 2 16
0,r1bq2k1/pp2nr1p/2p2pp1/P7/3PN3/6P1/1P3P1P/R1BQR1K1 b - - 0 16
-0.6,rnbqkbnr/pppppppp/8/8/7P/8/PPPPPPP1/RNBQKBNR b KQkq - 0 1
-0.3,rnbqkbnr/pppp1ppp/8/4p3/7P/8/PPPPPPP1/RNBQKBNR w KQkq - 0 2
-0.8,rnbqkbnr/pppp1ppp/8/4p3/7P/4P3/PPPP1PP1/RNBQKBNR b KQkq - 0 2
-0.9,rnbqkbnr/ppp2ppp/8/3pp3/7P/4P3/PPPP1PP1/RNBQKBNR w KQkq - 0 3
-0.6,rnbqkbnr/ppp2ppp/8/3pp3/3P3P/4P3/PPP2PP1/RNBQKBNR b KQkq - 0 3
-0.6,rnbqkbnr/ppp2ppp/8/3p4/3p3P/4P3/PPP2PP1/RNBQKBNR w KQkq - 0 4
-0.3,rnbqkbnr/ppp2ppp/8/3p4/3P3P/8/PPP2PP1/RNBQKBNR b KQkq - 0 4
-0.4,rnbqkb1r/ppp2ppp/5n2/3p4/3P3P/8/PPP2PP1/RNBQKBNR w KQkq - 1 5
-0.7,rnbqkb1r/ppp2ppp/5n2/3p4/3P3P/2N5/PPP2PP1/R1BQKBNR b KQkq - 2 5
-0.5,rnbqk2r/ppp2ppp/5n2/3p4/1b1P3P/2N5/PPP2PP1/R1BQKBNR w KQkq - 3 6
-0.6,rnbqk2r/ppp2ppp/5n2/3p4/1b1P3P/P1N5/1PP2PP1/R1BQKBNR b KQkq - 0 6
-0.5,rnbqk2r/ppp2ppp/5n2/3p4/3P3P/P1b5/1PP2PP1/R1BQKBNR w KQkq - 0 7
-0.6,rnbqk2r/ppp2ppp/5n2/3p4/3P3P/P1P5/2P2PP1/R1BQKBNR b KQkq - 0 7
-0.5,rnbqk2r/p1p2ppp/1p3n2/3p4/3P3P/P1P5/2P2PP1/R1BQKBNR w KQkq - 0 8
-0.5,rnbqk2r/p1p2ppp/1p3n2/1B1p4/3P3P/P1P5/2P2PP1/R1BQK1NR b KQkq - 1 8
-0.5,rnbqk2r/p4ppp/1pp2n2/1B1p4/3P3P/P1P5/2P2PP1/R1BQK1NR w KQkq - 0 9
-0.5,rnbqk2r/p4ppp/1pp2n2/3p4/3P3P/P1PB4/2P2PP1/R1BQK1NR b KQkq - 1 9
-0.3,rnbq1rk1/p4ppp/1pp2n2/3p4/3P3P/P1PB4/2P2PP1/R1BQK1NR w KQ - 2 10
-0.6,rnbq1rk1/p4ppp/1pp2n2/3p2B1/3P3P/P1PB4/2P2PP1/R2QK1NR b KQ - 3 10
-0.6,rnbqr1k1/p4ppp/1pp2n2/3p2B1/3P3P/P1PB4/2P2PP1/R2QK1NR w KQ - 4 11
-0.6,rnbqr1k1/p4ppp/1pp2n2/3p2B1/3P3P/P1PB4/2P2PP1/R2Q1KNR b - - 5 11
-0.5,r1bqr1k1/p2n1ppp/1pp2n2/3p2B1/3P3P/P1PB4/2P2PP1/R2Q1KNR w - - 6 12
-0.4,r1bqr1k1/p2n1ppp/1pp2n2/3p2B1/3P3P/P1PB4/2P1NPP1/R2Q1K1R b - - 7 12
-0.6,r1bqr1k1/p2n1pp1/1pp2n1p/3p2B1/3P3P/P1PB4/2P1NPP1/R2Q1K1R w - - 0 13
