Evaluation,FEN
0,r2r2k1/p3bp1p/1pp3p1/n7/3PP3/2N4P/P3BPKP/2RR4 b - - 0 22
0,r2r4/p3bpkp/1pp3p1/n7/3PP3/2N4P/P3BPKP/2RR4 w - - 1 23
0,r2r4/p3bpkp/1pp3p1/n3P3/3P4/2N4P/P3BPKP/2RR4 b - - 0 23
0,2rr4/p3bpkp/1pp3p1/n3P3/3P4/2N4P/P3BPKP/2RR4 w - - 1 24
0,2rr4/p3bpkp/1pp3p1/n3P3/3PN3/7P/P3BPKP/2RR4 b - - 2 24
0,2r5/p3bpkp/1pp3p1/n2rP3/3PN3/7P/P3BPKP/2RR4 w - - 3 25
0,2r5/p3bpkp/1pp3p1/n2rP3/3P4/2N4P/P3BPKP/2RR4 b - - 4 25
0,2rr4/p3bpkp/1pp3p1/n3P3/3P4/2N4P/P3BPKP/2RR4 w - - 5 26
0,2rr4/p3bpkp/1pp3p1/n3P3/3PN3/7P/P3BPKP/2RR4 b - - 6 26
0,2r5/p3bpkp/1pp3p1/n2rP3/3PN3/7P/P3BPKP/2RR4 w - - 7 27
0,2rr4/p3bpkp/1pp3p1/n3P3/3PN3/7P/P3BPKP/2RR4 b - - 10 28
0.1,2r5/p3bpkp/6p1/n1pRP3/4N3/7P/P3BPKP/8 b - - 1 31
0.1,2r5/p3bpkp/2n3p1/2pRP3/4N3/7P/P3BPKP/8 w - - 2 32
0.1,2r5/p3bpkp/2n3p1/2pRP3/P3N3/7P/4BPKP/8 b - - 0 32
0.2,2r2k2/p3bp1p/2n3p1/2pRP3/P3N3/7P/4BPKP/8 w - - 1 33
0.2,2r2k2/p3bp1p/2n3p1/2pRP3/P1B1N3/7P/5PKP/8 b - - 2 33
0.2,2r2k2/p3bp1p/6p1/n1pRP3/P1B1N3/7P/5PKP/8 w - - 3 34
0.1,2r2k2/p3bp1p/B5p1/n1pRP3/P3N3/7P/5PKP/8 b - - 4 34
0.1,5k2/p1r1bp1p/B5p1/n1pRP3/P3N3/7P/5PKP/8 w - - 5 35
0.1,5k2/p1r1bp1p/B2N2p1/n1pRP3/P7/7P/5PKP/8 b - - 6 35
3.4,5k2/p1r2p1p/B2b2p1/n1pRP3/P7/7P/5PKP/8 w - - 0 36
3.7,5k2/p1r2p1p/B2P2p1/n1pR4/P7/7P/5PKP/8 b - - 0 36
10,5k2/p3rp1p/B2P2p1/n1pR4/P7/7P/5PKP/8 w - - 1 37
10.1,5k2/p3Pp1p/B5p1/n1pR4/P7/7P/5PKP/8 b - - 0 37
10.1,8/p3kp1p/B5p1/n1pR4/P7/7P/5PKP/8 w - - 0 38
10.1,8/p3kp1p/B5p1/n1R5/P7/7P/5PKP/8 b - - 0 38
10.1,8/p3kp1p/B5p1/2R5/P7/1n5P/5PKP/8 w - - 1 39
10.2,8/p1R1kp1p/B5p1/8/P7/1n5P/5PKP/8 b - - 2 39
10.2,8/p1R1kp1p/B5p1/8/P7/1n5P/5PKP/8 b - - 2 39
3.9,5k2/p2r1p1p/B2P2p1/n1pR4/P7/7P/5PKP/8 w - - 1 37
4,5k2/p2r1p1p/B2P2p1/n1R5/P7/7P/5PKP/8 b - - 0 37
4,5k2/p2r1p1p/B2P2p1/2R5/P7/1n5P/5PKP/8 w - - 1 38
3.8,5k2/p2r1p1p/B2P2p1/3R4/P7/1n5P/5PKP/8 b - - 2 38
4.3,5k2/p2r1p1p/B2P2p1/3R4/P7/7P/5PKP/n7 w - - 3 39
4.1,5k2/p2r1p1p/B2P2p1/8/P7/7P/3R1PKP/n7 b - - 4 39
8.8,5k2/p2r1p1p/B2P2p1/3R4/P2n4/7P/5PKP/8 w - - 7 41
8.9,5k2/p2r1p1p/B2P2p1/8/P2R4/7P/5PKP/8 b - - 0 41
9,5k2/p2r3p/B2P2p1/5p2/P2R4/7P/5PKP/8 w - - 0 42
9.4,5k2/p2r3p/B2P2p1/5p2/P2R3P/8/5PKP/8 b - - 0 42
9.6,3r1k2/p6p/B2P2p1/5p2/P2R3P/8/5PKP/8 w - - 1 43
9.8,3r1k2/p2P3p/B5p1/5p2/P2R3P/8/5PKP/8 b - - 0 43
9.8,3r4/p2Pk2p/B5p1/5p2/P2R3P/8/5PKP/8 w - - 1 44
10.4,3r4/p2Pk2p/6p1/1B3p2/P2R3P/8/5PKP/8 b - - 2 44
11,3r4/3Pk2p/p5p1/1B3p2/P2R3P/8/5PKP/8 w - - 0 45
-2.9,3r4/3Pk2p/p5p1/1B3p2/P3R2P/8/5PKP/8 b - - 1 45
-3.1,3r4/3Pk2p/p5p1/1B6/P3p2P/8/5PKP/8 w - - 0 46
-3.1,3r4/3Pk2p/B5p1/8/P3p2P/8/5PKP/8 b - - 0 46
-3.1,8/3rk2p/B5p1/8/P3p2P/8/5PKP/8 w - - 0 47
-3.3,8/3rk2p/6p1/8/P1B1p2P/8/5PKP/8 b - - 1 47
-3.3,8/r3k2p/6p1/8/P1B1p2P/8/5PKP/8 w - - 2 48
-3.3,8/r3k2p/6p1/8/P3p2P/1B6/5PKP/8 b - - 3 48
-3.3,8/r6p/5kp1/8/P3p2P/1B6/5PKP/8 w - - 4 49
-3.3,8/r6p/5kp1/8/P3p2P/8/5PKP/3B4 b - - 5 49
-3.3,8/r6p/6p1/4k3/P3p2P/8/5PKP/3B4 w - - 6 50
-3.3,8/r6p/6p1/4k2P/P3p3/8/5PKP/3B4 b - - 0 50
-3.3,8/r6p/8/4k2p/P3p3/8/5PKP/3B4 w - - 0 51
-3.3,8/r6p/8/4k2B/P3p3/8/5PKP/8 b - - 0 51
-3.3,8/7p/8/4k2B/r3p3/8/5PKP/8 w - - 0 52
-3.3,8/5B1p/8/4k3/r3p3/8/5PKP/8 b - - 1 52
-3.3,8/5B1p/8/4k3/4p3/r7/5PKP/8 w - - 2 53
-3.3,8/7p/8/4k2B/4p3/r7/5PKP/8 b - - 3 53
-3.3,8/7p/8/4k2B/4p3/8/r4PKP/8 w - - 4 54
-3.3,8/5B1p/8/4k3/4p3/8/r4PKP/8 b - - 5 54
-3.3,8/5B1p/8/4k3/4p3/8/3r1PKP/8 w - - 6 55
-3.3,8/7p/8/4k3/4p1B1/7P/r4P2/6K1 b - - 0 58
-3.3,8/7p/8/8/4pkB1/7P/r4P2/6K1 w - - 1 59
-3.3,8/7p/8/7B/4pk2/7P/r4P2/6K1 b - - 2 59
-3.3,8/7p/8/7B/4pk2/7P/2r2P2/6K1 w - - 3 60
-100,8/7p/8/8/4pk2/7P/2r1BP2/6K1 b - - 4 60
-100,8/7p/8/8/4pk2/7P/4rP2/6K1 w - - 0 61
-100,8/7p/8/8/4pk2/7P/4rPK1/8 b - - 1 61
-100,8/7p/8/8/4pk2/7P/5PK1/4r3 w - - 2 62
-100,8/7p/8/8/4pk2/5P1P/6K1/4r3 b - - 0 62
-100,8/7p/8/8/5k2/4pP1P/6K1/4r3 w - - 0 63
-100,8/8/8/7p/5k1P/4pP2/6K1/4r3 w - - 0 64
-100,8/8/8/7p/5k1P/4pP1K/8/4r3 b - - 1 64
-100,8/8/8/7p/7P/4pk1K/8/4r3 w - - 0 65
-100,8/8/8/7p/7P/4pk2/7K/4r3 b - - 1 65
-100,8/8/8/7p/7P/5k2/4p2K/4r3 w - - 0 66
-100,8/8/8/7p/7P/5k1K/4p3/4r3 b - - 1 66
-100,8/8/8/7p/7P/5k1K/4p3/7r w - - 2 67
100,8/8/8/7k/8/8/KQ6/8 w - - 0 1
100,8/6Q1/8/7k/8/8/K7/8 b - - 1 1
100,8/6Q1/8/8/7k/8/K7/8 w - - 2 2
100,8/6Q1/8/8/7k/8/1K6/8 b - - 3 2
100,8/6Q1/8/7k/8/8/2K5/8 b - - 5 3
100,8/6Q1/8/8/7k/8/2K5/8 w - - 6 4
100,8/6Q1/8/8/7k/8/3K4/8 b - - 7 4
100,8/6Q1/8/7k/8/8/3K4/8 w - - 8 5
100,8/6Q1/8/7k/8/4K3/8/8 b - - 9 5
100,8/6Q1/8/8/7k/4K3/8/8 w - - 10 6
100,8/6Q1/8/8/5K1k/8/8/8 b - - 11 6
100,8/6Q1/8/7k/5K2/8/8/8 w - - 12 7
100,8/8/8/6Qk/5K2/8/8/8 b - - 13 7
0,rnbqkbnr/pppppppp/8/8/8/2P5/PP1PPPPP/RNBQKBNR b KQkq - 0 1
0.5,rnbqkbnr/ppppppp1/8/7p/8/2P5/PP1PPPPP/RNBQKBNR w KQkq - 0 2
0.4,rnbqkbnr/ppppppp1/8/7p/8/2P1P3/PP1P1PPP/RNBQKBNR b KQkq - 0 2
1,rnbqkbnr/pppppp2/8/6pp/8/2P1P3/PP1P1PPP/RNBQKBNR w KQkq - 0 3
0,rnbqkbnr/pppppp2/8/6pp/8/2P1P1P1/PP1P1P1P/RNBQKBNR b KQkq - 0 3
0.8,rnbqkbnr/pppppp2/8/7p/6p1/2P1P1P1/PP1P1P1P/RNBQKBNR w KQkq - 0 4
-0.2,rnbqkbnr/pppppp2/8/7p/6p1/2P1P1P1/PP1PBP1P/RNBQK1NR b KQkq - 1 4
0.3,rnbqkbnr/ppppp3/8/5p1p/6p1/2P1P1P1/PP1PBP1P/RNBQK1NR w KQkq - 0 5
-1.5,rnbqkbnr/ppppp3/8/5p1p/6p1/2P1PPP1/PP1PB2P/RNBQK1NR b KQkq - 0 5
-1.4,rnbqkbnr/pppp4/8/4pp1p/6p1/2P1PPP1/PP1PB2P/RNBQK1NR w KQkq - 0 6
-1.6,rnbqkbnr/pppp4/8/4pp1p/6P1/2P1P1P1/PP1PB2P/RNBQK1NR b KQkq - 0 6
3.1,rnb1kbnr/pppp4/8/4ppqp/6P1/2P1P1P1/PP1PB2P/RNBQK1NR w KQkq - 1 7
1.9,rnb1kbnr/pppp4/8/4ppqp/6P1/2P1P1PN/PP1PB2P/RNBQK2R b KQkq - 2 7
16.7,rnbk1bnr/pppp4/8/4ppqp/6P1/2P1P1PN/PP1PB2P/RNBQK2R w KQ - 3 8
16.4,rnbk1bnr/pppp4/8/4ppNp/6P1/2P1P1P1/PP1PB2P/RNBQK2R b KQ - 0 8
22.3,rnbk1bn1/pppp4/7r/4ppNp/6P1/2P1P1P1/PP1PB2P/RNBQK2R w KQ - 1 9
19.1,rnbk1bn1/pppp1N2/7r/4pp1p/6P1/2P1P1P1/PP1PB2P/RNBQK2R b KQ - 2 9
19.3,rnb1kbn1/pppp1N2/7r/4pp1p/6P1/2P1P1P1/PP1PB2P/RNBQK2R w KQ - 3 10
19.3,rnb1kbn1/pppp4/7N/4pp1p/6P1/2P1P1P1/PP1PB2P/RNBQK2R b KQ - 0 10
27.7,rnbk1bn1/pppp4/7N/4pp1p/6P1/2P1P1P1/PP1PB2P/RNBQK2R w KQ - 1 11
32.9,rnbk2N1/pppp4/3b4/4pp1p/6P1/2P1P1P1/PP1PB2P/RNBQK2R w KQ - 1 12
34.3,rnbk2N1/pppp4/3b4/4pp1P/8/2P1P1P1/PP1PB2P/RNBQK2R b KQ - 0 12
40.4,r1bk2N1/pppp4/2nb4/4pp1P/8/2P1P1P1/PP1PB2P/RNBQK2R w KQ - 1 13
40.6,r1bk2N1/pppp4/2nb3P/4pp2/8/2P1P1P1/PP1PB2P/RNBQK2R b KQ - 0 13
53.1,r1bk2N1/p1pp4/1pnb3P/4pp2/8/2P1P1P1/PP1PB2P/RNBQK2R w KQ - 0 14
100,r1bk2N1/p1pp3P/1pnb4/4pp2/8/2P1P1P1/PP1PB2P/RNBQK2R b KQ - 0 14
100,r1bk2N1/p1pp3P/1pnb4/5p2/4p3/2P1P1P1/PP1PB2P/RNBQK2R w KQ - 0 15
100,r1bk2NQ/p1pp4/1pnb4/5p2/4p3/2P1P1P1/PP1PB2P/RNBQK2R b KQ - 0 15
100,r1bk2NQ/p1pp4/1pnb4/8/4pp2/2P1P1P1/PP1PB2P/RNBQK2R w KQ - 0 16
100,r1bk3Q/p1pp4/1pnb3N/8/4pp2/2P1P1P1/PP1PB2P/RNBQK2R b KQ - 1 16
100,r1bk1b1Q/p1pp4/1pn4N/8/4pp2/2P1P1P1/PP1PB2P/RNBQK2R w KQ - 2 17
100,r1bk1Q2/p1pp4/1pn4N/8/4pp2/2P1P1P1/PP1PB2P/RNBQK2R b KQ - 0 17
100,r1bk4/p1pp2Q1/1p1b3N/7Q/2Bnpp2/2P1P1P1/PP1P3P/RNB1K2R w KQ - 8 20
